s
2019-10-12 19:57:52.8628454, on
2019-10-12 19:57:53.0709928 , on
2019-10-12 19:57:57.8789136, on
2019-10-12 19:57:58.0711813 , on
2019-10-12 19:58:02.8644269, on
2019-10-12 19:58:03.0843715 , on
2019-10-12 19:58:07.8693586, on
2019-10-12 19:58:08.0933678 , on
2019-10-12 19:58:12.869457, on
2019-10-12 19:58:13.073911 , on
2019-10-12 19:58:17.8756112, on
2019-10-12 19:58:18.0679789 , on
2019-10-12 19:58:22.8678528, on
2019-10-12 19:58:23.0804545 , on
2019-10-12 19:58:27.8670051, on
2019-10-12 19:58:28.0787582 , on
2019-10-12 19:58:32.890977, on
2019-10-12 19:58:33.1034164 , on
2019-10-12 19:58:37.8720423 , on
2019-10-12 19:58:38.0786169 , on
2019-10-12 19:58:42.8630487 , on
2019-10-12 19:58:43.0717784 , on
2019-10-12 19:58:47.8684334 , on
2019-10-12 19:58:48.0924324 , on
2019-10-12 19:58:52.8628331 , on
2019-10-12 19:58:53.0754848 , on
2019-10-12 19:58:57.8774966 , on
2019-10-12 19:58:58.0956008 , on
2019-10-12 19:59:02.8946724 , on
2019-10-12 19:59:03.0814968 , on
2019-10-12 19:59:07.872578 , on
2019-10-12 19:59:08.0992065 , on
2019-10-12 19:59:12.8856968 , on
2019-10-12 19:59:13.0707539 , on
2019-10-12 19:59:17.8733732 , on
2019-10-12 19:59:18.0897965 , on
2019-10-12 19:59:22.8691158 , on
2019-10-12 19:59:23.12443 , on
2019-10-12 19:59:27.8693795 , on
2019-10-12 19:59:28.070956 , on
2019-10-12 19:59:32.8869397 , on
2019-10-12 19:59:33.0803544 , on
2019-10-12 19:59:37.885456 , on
2019-10-12 19:59:38.0680203 , on
2019-10-12 19:59:42.8701745 , on
2019-10-12 19:59:43.0927304 , on
2019-10-12 20:22:33.937377, on
2019-10-12 20:22:38.9143037, on
2019-10-12 20:22:43.9046231, on
2019-10-12 20:22:48.8961577, on
2019-10-12 20:22:53.825638, on
2019-10-12 20:22:53.903757, on
2019-10-12 20:22:58.8115651, on
2019-10-12 20:22:58.899329, on
2019-10-12 20:23:03.8365239, on
2019-10-12 20:23:03.9063385, on
2019-10-12 20:23:08.8291796, on
2019-10-12 20:23:08.9228943, on
2019-10-12 20:23:13.8247838, on
2019-10-12 20:23:13.8995395, on
2019-10-12 20:23:18.8339386, on
2019-10-12 20:23:18.9007946, on
2019-10-12 20:23:23.8164022, on
